57;IG0IG00630*0GJ*14;0GJ;14;54;2;Calvin Klein Jeans;Одежда;Брюки спортивные;50% Хлопок, 50% Полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;8909.418;;1;;2;
58;IG0IG00630*0GJ*16;0GJ;16;54;2;Calvin Klein Jeans;Одежда;Брюки спортивные;50% Хлопок, 50% Полиэстер;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;8909.418;;1;;2;
59;IB0IB00535*BEH*10;BEH;10;63;1;Calvin Klein Jeans;Одежда;Поло;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;7636.644;;1;;2;
60;IB0IB00535*BEH*12;BEH;12;63;1;Calvin Klein Jeans;Одежда;Поло;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;7636.644;;1;;2;
61;IB0IB00535*BEH*14;BEH;14;63;1;Calvin Klein Jeans;Одежда;Поло;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;7636.644;;1;;2;
62;IB0IB00535*BEH*16;BEH;16;63;1;Calvin Klein Jeans;Одежда;Поло;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;;7636.644;;1;;2;
63;IB0IB00535*BEH*8;BEH;8;;1;Calvin Klein Jeans;Одежда;Поло;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ТУРЦИЯ;5;7636.644;;1;;2;
64;IB0IB00347*PNR*8;PNR;8;;1;Calvin Klein Jeans;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;5;3181.935;;1;;2;
65;IB0IB00347*PNR*12;PNR;12;64;1;Calvin Klein Jeans;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;;3181.935;;1;;2;
66;IB0IB00347*PNR*10;PNR;10;64;1;Calvin Klein Jeans;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;;3181.935;;1;;2;
67;IB0IB00521*BEH*10;BEH;10;75;1;Calvin Klein Jeans;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;;3818.322;;1;;2;
68;IB0IB00521*BEH*12;BEH;12;75;1;Calvin Klein Jeans;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;;3818.322;;1;;2;
69;IB0IB00521*BEH*14;BEH;14;75;1;Calvin Klein Jeans;Одежда;Футболка с коротким рукавом;100% Органический хлопок;ДЖУНИОР РЕПАБЛИК ООО;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;;3818.322;;1;;2;
